Code;Utdrag;Kontekst/tema;Intervju
Mangler informasjon;Man har ikke klart å trenge ned å fortelle hva det skal bety for prosjektet;Bruk av Lean i prosjektet;Engineering Manager
Tiltak til strategiene;Vi trenger nok å lande hvordan strategiene skal påvirke oss i handling;Bruk av Lean i prosjektet;Engineering Manager
Cogito/Digital delegering;også dukker det opp oppgaver i Cogito;Delegering;Engineering Manager
Kommunisert delegering;Det er i de temaene vi får oppgaver;Delegering;Engineering Manager
Deling i møter;Det skjer jo i forum hvor vi tar opp slike ting;Deling av kunnskap;Engineering Manager
Tviler på plan;Man vet ikke om det man tar tak i får man fremover;Gjennomføring basert på planlegging av designfasen;Engineering Manager
Ikke rendyrket;Ikke rendyrket hvor vi skal kommunisere;Kommunikasjon ;Engineering Manager
Dårlig prosjekteringsplan;Prosjekteringsplanen er ikke tilstrekkelig grad utarbeidet i felleskap;Planlegging av designfasen;Engineering Manager
Dårlig planlegging;Man har ikke samlet seg om en planleggingsmetodikk;Planlegging og resursbruk designfasen;Engineering Manager
Dårlig ressursbruk;Det er lagt mer ressurser i å planlegge produksjon av bygg enn produksjon av prosjekteringsmateriell;Planlegging og resursbruk designfasen;Engineering Manager
Mangler planlegging;Det er jo ikke et planleggingsverktøy, det er jo et oppfølgingsverktøy ;Utfordring ved Cogito;Engineering Manager
For mange verktøy;at det er såpass mange;Utfordring ved mange digitale verktøy;Engineering Manager
Ikke rendyrket;Interaxo, som kan brukes i mye større grad enn det det gjør per nå;Utfordring ved mange digitale verktøy;Engineering Manager
Kommunikasjon i Cogito;...det er et varslingsvindu, men det fungerer ikke optimalt;varsling i Cogito;Engineering Manager
Ikke rendyrket;Potensiale... Dersom man hadde rendyrket en eller to;;Engineering Manager
Mangel på opplæring;Opplæring... Er noe man bør fikse;;Engineering Manager
Bruker ikke Cogito;Jeg har ikke brukt det, men kjenner til det;Bruk av Cogito;Associate
Lite erfaringsoverføring;Det er ikke så veldig mye erfaringsoverføring med de andre fagene;Erfaringer som deles;Associate
Missforstått Blink;Har ikke fått invitasjon, men har hørt om det. Dette er det sosiale nettverket?;Kommunikasjon ;Associate
